title,dataPath,imgPath,caption,first_caption,chartType,release date,Region,survey time period,xAxis,yAxis,URL,columns,length,File_No
"
                        Leading 20 countries based on mortality rate attributed to unintentional poisoning in 2016 
                    
                            (per 100,000 population)
                        ",out/two_col/data/22137.csv,out/two_col/imgs/22137.png," This statistic shows the leading 20 countries based on mortality rate attributed to unintentional poisoning in 2016, per 100,000 population. In that year, Burundi had an unintentional poisoning mortality rate of 5.2 per 100,000 population. "," This statistic shows the leading 20 countries based on mortality rate attributed to unintentional poisoning in 2016, per 100,000 population. In that year, Burundi had an unintentional poisoning mortality rate of 5.2 per 100,000 population. ",bar,May-18,Worldwide,2016,Unnamed: 0,"Mortality rate per 100,000 population",https://www.statista.com/statistics/711299/ranking-of-leading-20-countries-with-largest-mortality-rate-due-to-unintentional-poisoning/,,,two_col-22137.txt
"
                        Distribution of Paypal employees in the United States as of September 2019, by ethnicity and department
                    ",out/multi_col/data/3232.csv,out/multi_col/imgs/3232.png," This statistic illustrates the distribution of Paypal employees in the United States in 2019, sorted by ethnicity and department. In the last reported period, 31 percent of U.S. Paypal leadership employees at the level of Director or above were of Asian ethnicity. "," This statistic illustrates the distribution of Paypal employees in the United States in 2019, sorted by ethnicity and department. In the last reported period, 31 percent of U.S. Paypal leadership employees at the level of Director or above were of Asian ethnicity. ",column,20-Apr,United States,2019,,,https://www.statista.com/statistics/591449/paypal-employee-ethnicity-department-us/,"['Unnamed: 0', 'All Employees', 'Leadership - Director+', 'Leadership - VP+', 'Technical Roles']",266.0,multi_col-3232.txt
"
                        Net revenue of WESC worldwide from 2006/07 to 2011/12 
                    
                            (in million SEK)
                        ",out/two_col/data/15994.csv,out/two_col/imgs/15994.png," This statistic presents the net revenue of WESC worldwide from 2006/07 to 2011/12. In 2009/10, the net revenue of WESC was 367.3 million SEK. WESC (short for ""We are the Superlative Conspiracy"") is a Swedish clothing brand, based mainly on skateboarding influences and style. Founded in 2003, its vision is to be the world's best brand within the street fashion segment, by serving as a link between traditional fashion and streetwear. "," This statistic presents the net revenue of WESC worldwide from 2006/07 to 2011/12. In 2009/10, the net revenue of WESC was 367.3 million SEK. WESC (short for ""We are the Superlative Conspiracy"") is a Swedish clothing brand, based mainly on skateboarding influences and style. Founded in 2003, its vision is to be the world's best brand within the street fashion segment, by serving as a link between traditional fashion and streetwear. ",column,Sep-12,Worldwide,2006/07 to 2011/12,Year,Net revenue in million SEK,https://www.statista.com/statistics/239665/global-net-revenue-of-wesc/,,,two_col-15994.txt
"
                        Over the next 3 months, which of the following best describes how frequently you plan to use the mobile wallet on your phone to pay for goods or services at stores where you shop?
                    ",out/two_col/data/24220.csv,out/two_col/imgs/24220.png," This statistic provides information on the intention of U.S. consumers to use mobile wallet apps for in-store payments over the next three months. During the December 2017 survey, 39 percent of respondents anticipated their mobile wallet usage to remain the same. "," This statistic provides information on the intention of U.S. consumers to use mobile wallet apps for in-store payments over the next three months. During the December 2017 survey, 39 percent of respondents anticipated their mobile wallet usage to remain the same. ",column,Jan-18,United States,Dec-17,Unnamed: 0,Share of respondents,https://www.statista.com/statistics/244357/willingness-of-us-consumers-to-use-mobile-phone-as-wallet-by-age/,,,two_col-24220.txt
"
                        Divorce rate in Norway from 2009 to 2019, by gender 
                    
                            (per 1,000 married inhabitants)
                        ",out/multi_col/data/1073.csv,out/multi_col/imgs/1073.png," The statistic shows the divorce rate in Norway from 2009 to 2019, by gender. The divorce rate overall declined within this decade. In 2019, there were ten divorces per thousand married and separated males, and 10.3 divorces per thousand married and separated females. "," The statistic shows the divorce rate in Norway from 2009 to 2019, by gender. The divorce rate overall declined within this decade. In 2019, there were ten divorces per thousand married and separated males, and 10.3 divorces per thousand married and separated females. ",column,20-Apr,Norway,2009 to 2019,,,https://www.statista.com/statistics/589121/divorce-rate-by-gender-in-norway/,"['Unnamed: 0', 'Males', 'Females']",269.0,multi_col-1073.txt
"
                        State civilian labor force in the U.S. in 2019 
                    
                            (in 1,000s)
                        ",out/two_col/data/8300.csv,out/two_col/imgs/8300.png," This table ranks the 50 states of the United States and the District of Columbia by their civilian labor force in 2019. In 2019, California had the largest civilian labor force in the United States with about 19.41 million people. "," This table ranks the 50 states of the United States and the District of Columbia by their civilian labor force in 2019. In 2019, California had the largest civilian labor force in the United States with about 19.41 million people. ",bar,Mar-20,United States,2019,State,Civilian labor force in thousands,https://www.statista.com/statistics/223614/state-civilian-labor-force-in-the-us/,,,two_col-8300.txt
"
                        Installed power capacity across Karnataka in India from financial year 2005 to 2018 
                    
                            (in megawatts)
                        ",out/two_col/data/19183.csv,out/two_col/imgs/19183.png," The installed power capacity across Karnataka in India was around 27,157 megawatts during fiscal year 2018. The south Asian country was the third largest producer as well as consumer of electricity in the world as of 2019. "," The installed power capacity across Karnataka in India was around 27,157 megawatts during fiscal year 2018. The south Asian country was the third largest producer as well as consumer of electricity in the world as of 2019. ",column,Mar-19,India,FY 2005 to FY 2018,Unnamed: 0,Installed power capacity in megawatts,https://www.statista.com/statistics/1077711/india-karnataka-installed-power-capacity/,,,two_col-19183.txt
"
                        Occupancy rate in hotels in India from financial year 2001 to 2019
                    ",out/two_col/data/2143.csv,out/two_col/imgs/2143.png," In fiscal year 2019, the occupancy rate of hotels in India was 66.7 percent, up by one percent from the previous year. Among the various types of hotels, four-star hotels had the highest occupancy at 67.5 percent, making it the highest in this decade. Mumbai �?a city that never sleeps Mumbai, the capital of Maharashtra, witnessed a slow-paced growth in the hotel industry in recent years mainly due to the changes in real estate policies and exorbitant land prices. Despite this, the financial and entertainment capital of India outpaced all other major markets in the country by achieving the highest occupancy rate and revenue per available room in 2019. With the availability of international convention centers like the Jio World Centre located in the heart of commercial district of Bandra-Kurla Complex, Mumbai was the preferred business location in the country. Leading hotel company In 2019, the Indian Hotels Company Limited stood out as India’s largest hospitality company by net sales. One of the first hotels opened by this company was the Taj Mahal hotel located in Mumbai. Opened almost a century ago, the Taj Mahal hotel has hosted some of the most illustrious guest from all over the world. Ever since the hotel has held on to the legacy of providing warm hospitality and world-class facilities. Well known for its grandeur, the Taj remains a hallmark of Indian hospitality year after year. "," In fiscal year 2019, the occupancy rate of hotels in India was 66.7 percent, up by one percent from the previous year. Among the various types of hotels, four-star hotels had the highest occupancy at 67.5 percent, making it the highest in this decade. ",line,Sep-19,India,FY 2001 to FY 2019,Unnamed: 0,Occupancy rate,https://www.statista.com/statistics/206040/occupancy-rate-of-hotels-in-india/,,,two_col-2143.txt
"
                        Value of beer imported into Sweden from 2008 to 2018 
                    
                            (in 1,000 SEK)
                        ",out/two_col/data/20518.csv,out/two_col/imgs/20518.png, This statistic displays the value of beer imported into Sweden from 2008 to 2018. The value of beer imported into Sweden increased over the period with import values reaching 1.33 billion Swedish kronor in 2018. , This statistic displays the value of beer imported into Sweden from 2008 to 2018. The value of beer imported into Sweden increased over the period with import values reaching 1.33 billion Swedish kronor in 2018. ,column,Oct-19,Sweden,2008 to 2018,Unnamed: 0,Import value in thousand SEK,https://www.statista.com/statistics/460020/beer-import-value-sweden/,,,two_col-20518.txt
"
                        Installed power capacity across Bihar in India from financial year 2005 to 2018 
                    
                            (in megawatts)
                        ",out/two_col/data/20012.csv,out/two_col/imgs/20012.png," At the end of fiscal year 2018, the installed power capacity across Bihar in India was around 4,341 megawatts. In 2019, the south Asian country was the third largest producer as well as consumer of electricity in the world. The country's national electric grid had an installed capacity of approximately 364 gigawatts as of October 2019. Of this capacity, almost three quarters of electricity was produced through fossil fuels. "," At the end of fiscal year 2018, the installed power capacity across Bihar in India was around 4,341 megawatts. In 2019, the south Asian country was the third largest producer as well as consumer of electricity in the world. The country's national electric grid had an installed capacity of approximately 364 gigawatts as of October 2019. Of this capacity, almost three quarters of electricity was produced through fossil fuels. ",column,Mar-19,India,FY 2005 to FY 2018,Unnamed: 0,Installed power capacity in megawatts,https://www.statista.com/statistics/1077619/india-bihar-installed-power-capacity/,,,two_col-20012.txt
"
                        Overall U.S. customer satisfaction with e-government sites as of 2nd half 2019 
                    
                            (index score)
                        ",out/two_col/data/13595.csv,out/two_col/imgs/13595.png," As of the second half of 2019, customer satisfaction with e-government websites and services reached a score of 75.3 index points. The score for e-government is aggregated from measurements in the categories of federal e-commerce and transaction websites, news and information websites, as well as portals and career pages. "," As of the second half of 2019, customer satisfaction with e-government websites and services reached a score of 75.3 index points. The score for e-government is aggregated from measurements in the categories of federal e-commerce and transaction websites, news and information websites, as well as portals and career pages. ",column,Jul-20,United States,Q4 2013 to H2 2019,Unnamed: 0,Index score (100 point scale),https://www.statista.com/statistics/184361/us-consumer-satisfaction-egovernment/,,,two_col-13595.txt
"
                        Share of municipalities covered by 4G/4G Plus in the Italian region of Sicily in 2018, by province  
                    ",out/two_col/data/19443.csv,out/two_col/imgs/19443.png," This statistic illustrates the share of municipalities covered by 4G/4G Plus in the Italian region of Sicily as of 2018, broken down by province. In 2018, Caltanissetta was the province with the lowest mobile internet penetration rate, roughly 91 percent. By comparison, all the municipalities in the provinces of Enna, Ragusa, Trapani, and Catania were covered by the 4G network. "," This statistic illustrates the share of municipalities covered by 4G/4G Plus in the Italian region of Sicily as of 2018, broken down by province. In 2018, Caltanissetta was the province with the lowest mobile internet penetration rate, roughly 91 percent. By comparison, all the municipalities in the provinces of Enna, Ragusa, Trapani, and Catania were covered by the 4G network. ",bar,Jul-19,Italy,2018,Unnamed: 0,Share of municipalities covered,https://www.statista.com/statistics/1009371/4g-4g-plus-coverage-in-sicily-in-italy-by-province/,,,two_col-19443.txt
"
                        Turkey: Main export partners in 2017
                    ",out/two_col/data/13856.csv,out/two_col/imgs/13856.png," This statistic shows the main export partners of Turkey in 2017. Germany was the leading export partner of Turkey in 2017, with a share of 9.6 percent in all exports. "," This statistic shows the main export partners of Turkey in 2017. Germany was the leading export partner of Turkey in 2017, with a share of 9.6 percent in all exports. ",column,Jul-19,Turkey,2017,Unnamed: 0,Share in total exports,https://www.statista.com/statistics/255650/main-export-partners-of-turkey/,,,two_col-13856.txt
"
                        Smoking prevalence in Northern Ireland in 2018/2019, by gender
                    ",out/multi_col/data/4387.csv,out/multi_col/imgs/4387.png," This statistic displays the prevalence of smoking, by gender in Northern Ireland in the period from April 2018 to March 2019. At this time, 46 percent of men and 56 percent of women said they had never smoked. "," This statistic displays the prevalence of smoking, by gender in Northern Ireland in the period from April 2018 to March 2019. At this time, 46 percent of men and 56 percent of women said they had never smoked. ",column,20-Jan,United Kingdom (Northern Ireland),April 2018 to March 2019,,,https://www.statista.com/statistics/350597/smoking-by-gender-in-northern-ireland/,"['Unnamed: 0', 'Men', 'Women']",211.0,multi_col-4387.txt
"
                        Share of Facebook's mobile advertising revenue as of 3rd quarter 2019
                    ",out/two_col/data/16807.csv,out/two_col/imgs/16807.png," As of the third quarter of 2019, 94 percent of Facebook's advertising revenues were generated via mobile, up from 92 percent in corresponding quarter of the previous year. This translates to almost 16.34 billion U.S. dollars in quarterly mobile ad revenues. "," As of the third quarter of 2019, 94 percent of Facebook's advertising revenues were generated via mobile, up from 92 percent in corresponding quarter of the previous year. This translates to almost 16.34 billion U.S. dollars in quarterly mobile ad revenues. ",column,Oct-19,Worldwide,Q1 2016 to Q3 2019,Unnamed: 0,Share of total ad revenue,https://www.statista.com/statistics/999580/share-of-mobile-facebook-ad-revenue-quarter/,,,two_col-16807.txt
"
                        Average revenue per employee of professional services within software as a service (SaaS) companies worldwide from 2015 to 2019 
                    
                            (in 1,000 U.S. dollars)
                        ",out/two_col/data/9805.csv,out/two_col/imgs/9805.png," This statistic depicts the average annual revenue per employee of professional services within software as a service (SaaS) companies worldwide between 2015 and 2019. During the 2019 survey, respondents reported an average annual revenue per employee of 199,000 U.S. dollars. "," This statistic depicts the average annual revenue per employee of professional services within software as a service (SaaS) companies worldwide between 2015 and 2019. During the 2019 survey, respondents reported an average annual revenue per employee of 199,000 U.S. dollars. ",column,Feb-20,Worldwide,2015 to 2019,Unnamed: 0,Annual revenue per employee in thousand U.S. dollars,https://www.statista.com/statistics/936949/saas-professional-services-worldwide-revenue-per-employee/,,,two_col-9805.txt
"
                        Specialist physicians average age in Canada from 1978 to 2018
                    ",out/two_col/data/27729.csv,out/two_col/imgs/27729.png, This statistic shows the average age of specialist physicians in Canada from 1978 to 2018. The specialist physicians average age in 1978 was 47.2 years and increased to almost 50 years in the year 2018. , This statistic shows the average age of specialist physicians in Canada from 1978 to 2018. The specialist physicians average age in 1978 was 47.2 years and increased to almost 50 years in the year 2018. ,bar,Sep-19,Canada,1978 to 2018,Unnamed: 0,Average age in years,https://www.statista.com/statistics/496670/specialist-physicians-average-age-by-type/,,,two_col-27729.txt
"
                        Median age at first marriage in South Korea from 1900 to 2019, by gender 
                    
                            (in years)
                        ",out/multi_col/data/1762.csv,out/multi_col/imgs/1762.png," In 2019, the median age at their first marriage of men in South Korea was 33.4 years, while the first marriage age of women was 30.59 years. The perception of marriage among South Koreans has changed over the past few decades and the actual number of registered marriages has also fallen significantly. "," In 2019, the median age at their first marriage of men in South Korea was 33.4 years, while the first marriage age of women was 30.59 years. The perception of marriage among South Koreans has changed over the past few decades and the actual number of registered marriages has also fallen significantly. ",line,20-Mar,South Korea,1990 to 2019,,,https://www.statista.com/statistics/1112935/south-korea-median-age-at-first-marriage-by-gender/,"['Unnamed: 0', 'Male', 'Female']",304.0,multi_col-1762.txt
"
                        Number of animals used in research in the United States in 2018, by species
                    ",out/two_col/data/19294.csv,out/two_col/imgs/19294.png," This statistic shows the number of animals that were used for research purposes in the United States in 2018. In 2018, about 171406 guinea pigs were used in research facilities in the United States. "," This statistic shows the number of animals that were used for research purposes in the United States in 2018. In 2018, about 171406 guinea pigs were used in research facilities in the United States. ",column,Jan-20,United States,2018,Unnamed: 0,Number of animals,https://www.statista.com/statistics/777123/animals-used-in-research-in-the-united-states-by-species/,,,two_col-19294.txt
"
                        Number of families living below the poverty line in the U.S. from 1990 to 2019 
                    
                            (in 1,000s)
                        ",out/two_col/data/14641.csv,out/two_col/imgs/14641.png," This statistic shows the number of poor families in the U.S. from 1990 to 2019. In 2019, there was a total of 6.5 million poor families living in the United States. Poverty is the state of one who lacks a certain amount of material possessions or money. Absolute poverty or destitution is inability to afford basic human needs, which commonly includes clean and fresh water, nutrition, health care, education, clothing, and shelter. "," This statistic shows the number of poor families in the U.S. from 1990 to 2019. In 2019, there was a total of 6.5 million poor families living in the United States. Poverty is the state of one who lacks a certain amount of material possessions or money. Absolute poverty or destitution is inability to afford basic human needs, which commonly includes clean and fresh water, nutrition, health care, education, clothing, and shelter. ",bar,Sep-20,United States,1990 to 2019,Unnamed: 0,Number of poor families in thousands,https://www.statista.com/statistics/204743/number-of-poor-families-in-the-us/,,,two_col-14641.txt
"
                        Number of monthly arrivals in tourist accommodation in Greece from July 2018 to June 2020* 
                    
                            (in millions)
                        ",out/two_col/data/17304.csv,out/two_col/imgs/17304.png," In April 2020, arrivals at accommodation establishments in Greece fell to around an estimated 12 thousand due to the coronavirus (COVID-19) pandemic, down from 1.28 million recorded in the same period a year earlier. By June, the number of tourist arrivals in Greek accommodations increased to 440 thousand. Arrivals include both residents and non-resident stays in tourist accommodation. "," In April 2020, arrivals at accommodation establishments in Greece fell to around an estimated 12 thousand due to the coronavirus (COVID-19) pandemic, down from 1.28 million recorded in the same period a year earlier. By June, the number of tourist arrivals in Greek accommodations increased to 440 thousand. Arrivals include both residents and non-resident stays in tourist accommodation. ",line,Sep-20,Greece,July 2018 to June 2020,Unnamed: 0,Number of arrivals in millions,https://www.statista.com/statistics/1130769/number-of-monthly-arrivals-short-stay-accommodation-in-greece/,,,two_col-17304.txt
"
                        Number of betting shops in the United Kingdom from 2009 to 2019, by operator
                    ",out/multi_col/data/566.csv,out/multi_col/imgs/566.png," As of March 2019, the number there were a total of 8,320 betting shops in the United Kingdom (UK). Over the observation period, the betting company Betfred doubled the number of their premises, reaching 1,620 betting shops. Ladbrokes, on the other hand, experienced decline and as of 2019, operated 1,828 betting shops. Gambling is is illegal for people below the age of 18. Gambling as well as the National Lottery in Great Britain are regulated by the Gambling Commission in partnership with the licensing authorities. Тhe legal gambling age is 18, however, according to a survey by the Gambling Commission, seven percent of 13-year old youths gambled on commercial premises within the week prior to the survey. One third of people gamble once a week. In 2018, approximately 33 percent of people above the age of 16 who were surveyed on their gambling behavior advised that they had gambled once a week in the month prior to the survey. The gambling sector in Great Britain has continuously been growing since 2011. In 2018, the gross gambling yeld of the gambling industry in Great Britain amounted to approximately 2.25 billion British pounds. "," As of March 2019, the number there were a total of 8,320 betting shops in the United Kingdom (UK). Over the observation period, the betting company Betfred doubled the number of their premises, reaching 1,620 betting shops. Ladbrokes, on the other hand, experienced decline and as of 2019, operated 1,828 betting shops. ",column,19-Nov,United Kingdom,2009 to 2019,,,https://www.statista.com/statistics/203401/number-of-betting-shops-by-operator-in-the-uk/,"['Unnamed: 0', 'William Hill', 'Ladbrokes', 'Gala Coral Group', 'Other***', 'Betfred**']",321.0,multi_col-566.txt
"
                        Tampa Bay Rays all-time RBI (runs batted in) leaders as of October 2020
                    ",out/two_col/data/22439.csv,out/two_col/imgs/22439.png, This statistic shows the Tampa Bay Rays all-time RBI leaders as of October 2020. Evan Longoria has the most RBI in Tampa Bay Rays franchise history with 892 runs batted in. , This statistic shows the Tampa Bay Rays all-time RBI leaders as of October 2020. Evan Longoria has the most RBI in Tampa Bay Rays franchise history with 892 runs batted in. ,bar,Oct-20,"North America, United States",Oct-20,Unnamed: 0,Number of home runs,https://www.statista.com/statistics/857412/all-time-tampa-bay-rays-rbi-leaders/,,,two_col-22439.txt
"
                        Yemen: Estimated total population from 2014 to 2024 
                    
                            (in million inhabitants)
                        ",out/two_col/data/15180.csv,out/two_col/imgs/15180.png," This statistic shows the total population of Yemen from 2014 to 2024. All figures are estimates. In 2018, the total population of Yemen was estimated to amount to approximately 30.82 million inhabitants. "," This statistic shows the total population of Yemen from 2014 to 2024. All figures are estimates. In 2018, the total population of Yemen was estimated to amount to approximately 30.82 million inhabitants. ",column,Oct-19,Yemen,2014 to 2017,Unnamed: 0,Inhabitants in millions,https://www.statista.com/statistics/524126/total-population-of-yemen/,,,two_col-15180.txt
"
                        Number of people who live below the poverty level in the top 25  most populated cities in the United States in 2019
                    ",out/two_col/data/19134.csv,out/two_col/imgs/19134.png," This statistic shows the number of people who live below the poverty level in the top 25 most populated cities in the U.S. in 2019. In 2019, about 1.31 million people had an income below the poverty level in New York city. "," This statistic shows the number of people who live below the poverty level in the top 25 most populated cities in the U.S. in 2019. In 2019, about 1.31 million people had an income below the poverty level in New York city. ",bar,Sep-20,United States,2019,Unnamed: 0,Number of people with income below the poverty line,https://www.statista.com/statistics/205627/number-of-poor-people-in-the-top-20-most-populated-cities-in-the-us/,,,two_col-19134.txt
"
                        Gross domestic product (GDP) in Catalonia between 2003 and 2019 
                    
                            (in million euros)
                        ",out/two_col/data/14333.csv,out/two_col/imgs/14333.png," This statistic shows the gross domestic product (GDP) in Catalonia between 2003 and 2019. GDP refers to the total market value of all goods and services that are produced within a country per year. It is an important indicator of the economic strength of a country. Catalonia's GDP fell sharply between 2008 and 2009, but started to grow again steady in the subsequent years. "," This statistic shows the gross domestic product (GDP) in Catalonia between 2003 and 2019. GDP refers to the total market value of all goods and services that are produced within a country per year. It is an important indicator of the economic strength of a country. Catalonia's GDP fell sharply between 2008 and 2009, but started to grow again steady in the subsequent years. ",line,Jul-20,Spain,2003 to 2019,Unnamed: 0,GDP (in million euros),https://www.statista.com/statistics/327097/gross-domestic-product-in-catalonia/,,,two_col-14333.txt
"
                        Monsanto's research and development (R&D) expenditure from 2008 to 2017 (in million U.S. dollars)*
                    ",out/two_col/data/2861.csv,out/two_col/imgs/2861.png," This statistic shows the research and development (R&D) expenditure of Monsanto from 2008 to 2017. In 2017, the company invested approximately 1.61 billion U.S. dollars in research and development. Monsanto was an agricultural company specialized on genetically engineered seeds. The company was headquartered in St Louis, Missouri. In September 2016, Bayer finalized a deal to take Monsanto over, which was completed on June 7, 2018. "," This statistic shows the research and development (R&D) expenditure of Monsanto from 2008 to 2017. In 2017, the company invested approximately 1.61 billion U.S. dollars in research and development. Monsanto was an agricultural company specialized on genetically engineered seeds. The company was headquartered in St Louis, Missouri. In September 2016, Bayer finalized a deal to take Monsanto over, which was completed on June 7, 2018. ",column,Oct-17,Worldwide,2008 to 2017,Unnamed: 0,Expenditure in million U.S. dollars,https://www.statista.com/statistics/273312/monsanto-research-and-development-expenditure-since-2008/,,,two_col-2861.txt
"
                        Angola: Main export partners in 2017
                    ",out/two_col/data/16492.csv,out/two_col/imgs/16492.png," This statistic shows the most important export partner countries for Angola in 2017. In 2017, the most important export partner of Angola was China, with a share of 61.2 percent in exports. "," This statistic shows the most important export partner countries for Angola in 2017. In 2017, the most important export partner of Angola was China, with a share of 61.2 percent in exports. ",column,Jul-19,Angola,2017,Unnamed: 0,Share in total export,https://www.statista.com/statistics/440776/most-important-export-partner-countries-for-angola/,,,two_col-16492.txt
"
                        Change in over-the-top video revenue in Europe in 2014, by region
                    ",out/multi_col/data/4386.csv,out/multi_col/imgs/4386.png," The statistic shows a forecast of the year-on-year change in over the top video revenue in Europe in 2014, by region. Strategy Analytics projected that subscription video on demand revenue would increase by 47 percent in 2014 in comparison to 2013. "," The statistic shows a forecast of the year-on-year change in over the top video revenue in Europe in 2014, by region. Strategy Analytics projected that subscription video on demand revenue would increase by 47 percent in 2014 in comparison to 2013. ",column,14-Sep,Europe,14-Sep,,,https://www.statista.com/statistics/330115/ott-video-revenue-growth-europe/,"['Unnamed: 0', 'Western Europe', 'Eastern Europe']",250.0,multi_col-4386.txt
"
                        Most popular mobile gaming related apps in the United States as of September 2019, by reach
                    ",out/two_col/data/11822.csv,out/two_col/imgs/11822.png," This statistic gives information on the most popular mobile gaming related apps in the United States as of September 2019, ranked by mobile reach. During that month, 3.7 percent of mobile users accessed the Words With Friends game. Candy Crush Saga had a mobile audience reach of 5.5 percent among mobile U.S. audiences. "," This statistic gives information on the most popular mobile gaming related apps in the United States as of September 2019, ranked by mobile reach. During that month, 3.7 percent of mobile users accessed the Words With Friends game. Candy Crush Saga had a mobile audience reach of 5.5 percent among mobile U.S. audiences. ",bar,Nov-19,United States,Sep-19,Unnamed: 0,Mobile reach,https://www.statista.com/statistics/580131/smartphone-gaming-reach-us/,,,two_col-11822.txt
"
                        Value of venture capital invested in healthtech companies in the United States from 2014 to 2020 
                    
                            (in billion U.S. dollars)
                        ",out/two_col/data/23002.csv,out/two_col/imgs/23002.png," In 2019, 7.8 billion U.S. dollars in venture capital were invested into healthtech companies in the United States. This amount has more than doubled over the past five years - up from 3.1 billion U.S. dollars in 2014. "," In 2019, 7.8 billion U.S. dollars in venture capital were invested into healthtech companies in the United States. This amount has more than doubled over the past five years - up from 3.1 billion U.S. dollars in 2014. ",column,Mar-20,United States,2014 to 2020,Unnamed: 0,Investment in million U.S. dollars,https://www.statista.com/statistics/1107234/us-venture-capital-investment-healthtech/,,,two_col-23002.txt
"
                        Gross value added (GVA) of the United Kingdom (UK) in 2018, by sector 
                    
                            (in billion GBP)
                        ",out/two_col/data/8457.csv,out/two_col/imgs/8457.png," This statistic shows the gross value added (GVA) in the United Kingdom (UK) in 2018, by sector. The sector with the highest level of GVA was wholesale and retail trade at 204 billion British pounds. "," This statistic shows the gross value added (GVA) in the United Kingdom (UK) in 2018, by sector. The sector with the highest level of GVA was wholesale and retail trade at 204 billion British pounds. ",bar,Nov-19,United Kingdom,2016,Unnamed: 0,GVA in billion GBP,https://www.statista.com/statistics/285023/gross-value-added-gva-in-the-uk-by-sector/,,,two_col-8457.txt
"
                        Number of of marriages and divorces per 1,000 population in Russia from 2000 to 2019
                    ",out/multi_col/data/941.csv,out/multi_col/imgs/941.png," In 2019, 6.5 marriages were registered per thousand inhabitants in Russia, compared to 4.2 divorces per thousand population. Both marriage and divorce rates in the country saw an increase between 2018 and 2019. In 2010, 8.5 marriages were registered per thousand Russians, which was the highest number recorded over the period under consideration. What do marriage and divorce rates mean? Crude marriage rate refers to the number of marriages per one thousand population, according to the United Nations Population Division. In total, more than 950 thousand marriages were registered in Russia in 2019, while the country’s population was measured at 146.7 million in that year. Another indicator relevant to Russian demographics is the crude divorce rate, which is the number of divorces recorded in a year per one thousand population, as defined by the United Nations Population Division. In total, over 620.7 thousand divorces were registered in Russia in 2019. What do Russians think of marriage? In every age category, most Russians believed that being married and living in a family was most preferable in the society. However, the share of family and marriage supporters was the lowest among 18-to-24-year-olds, measuring at 62 percent. Both for men and women, the ideal age to get married was considered in a person’s twenties. "," In 2019, 6.5 marriages were registered per thousand inhabitants in Russia, compared to 4.2 divorces per thousand population. Both marriage and divorce rates in the country saw an increase between 2018 and 2019. In 2010, 8.5 marriages were registered per thousand Russians, which was the highest number recorded over the period under consideration. ",line,19-Feb,Russia,2000 to 2019,,,https://www.statista.com/statistics/1009719/russia-marriage-and-divorce-rate/,"['Unnamed: 0', 'Marriages', 'Divorces']",349.0,multi_col-941.txt
"
                        Jordan: Literacy rate from 2007 to 2018, total and by gender
                    ",out/multi_col/data/1448.csv,out/multi_col/imgs/1448.png," The statistic depicts the literacy rate in Jordan from 2007 to 2018. The literacy rate measures the percentage of people aged 15 and above who can read and write. In 2018, Jordan's literacy rate was around 98.23 percent. "," The statistic depicts the literacy rate in Jordan from 2007 to 2018. The literacy rate measures the percentage of people aged 15 and above who can read and write. In 2018, Jordan's literacy rate was around 98.23 percent. ",line,20-Oct,Jordan,2007 to 2018,,,https://www.statista.com/statistics/572748/literacy-rate-in-jordan/,"['Unnamed: 0', 'Adult total', 'Adult male', 'Adult female']",222.0,multi_col-1448.txt
"
                        Retail price projection of diesel fuel for private cars in United Kingdom (UK) from 2020 to 2035 
                    
                            (in British pence per liter)
                        ",out/two_col/data/25554.csv,out/two_col/imgs/25554.png," This statistic shows a projection of the retail price for diesel fuel for private cars in the United Kingdom (UK) from 2020 to 2035, in British pence per liter. It shows that the price for diesel fuel for road vehicles in the UK is expected to increase to a total of 143.9 British pence per liter in 2035. "," This statistic shows a projection of the retail price for diesel fuel for private cars in the United Kingdom (UK) from 2020 to 2035, in British pence per liter. It shows that the price for diesel fuel for road vehicles in the UK is expected to increase to a total of 143.9 British pence per liter in 2035. ",column,May-19,United Kingdom,2020 to 2035,Unnamed: 0,Prices in British pence per liter,https://www.statista.com/statistics/496364/diesel-for-private-vehicles-price-pojection-uk/,,,two_col-25554.txt
"
                        Number of inbound foreign tourist arrivals in France in 2017, by continent of residence 
                    
                            (in millions)
                        ",out/two_col/data/6184.csv,out/two_col/imgs/6184.png," During the year 2017, the great majority of foreign tourists coming to France were from Europe: 68.3 million people, while about 8.7 million tourists came from America. Moreover, about 40 percent of those who visited France in 2018 were residents of either the United Kingdom, Germany or Belgium and Luxembourg. Accommodation of foreign tourists in France Among foreign tourists who stayed in France in 2017, almost 400 million chose a non-commercial accommodation �?meaning they stayed in second homes or with relatives and friends, while around 183 million tourists stayed in commercial accommodations such as hotels, campsites or guest houses. In the commercial accommodation industry, tourists from abroad represented almost 78 millions of nights spend in hotels that same year. Expenditure of tourists in France Total expenditure by international tourists spending they holiday in France amounted to almost 49 billion euros in 2016, an increase compared to the previous decade (37 billion euros in 2007). Alone in the Paris area, American tourists spent approximately 7.5 billion euros in 2017. "," During the year 2017, the great majority of foreign tourists coming to France were from Europe: 68.3 million people, while about 8.7 million tourists came from America. Moreover, about 40 percent of those who visited France in 2018 were residents of either the United Kingdom, Germany or Belgium and Luxembourg. ",column,Apr-19,France,2017,Unnamed: 0,Tourist arrivals in millions,https://www.statista.com/statistics/455275/number-of-inbound-tourist-arrivals-in-france-by-continent/,,,two_col-6184.txt
