number,File_No,title,img,data,Gold Standard,TAB-BART,TAB-T5,OCR-T5
217,two_col-13856.txt,Turkey: Main export partners in 2017,statista/dataset/imgs/two_col-13856.png,statista/dataset/data/two_col-13856.csv,"This statistic shows the main export partners of Turkey in 2017. Germany was the leading export partner of Turkey in 2017, with a share of 9.6 percent in all exports.","This statistic shows the main export partners for Turkey in 2017. In 2017, the most important export partner for Turkey was Germany, accounting for 9.6 percent of all exports.","This statistic shows the main export partners for Turkey in 2017. In 2017, the main export partner for Turkey was Spain with a share of four percent in all exports.","This statistic shows the most important export partner countries for Turkey in 2017. In 2017, the most important export partner of Turkey was Germany with a share of 10.6 percent in exports."
218,multi_col-4387.txt,"Smoking prevalence in Northern Ireland in 2018/2019, by gender",statista/dataset/imgs/multi_col-4387.png,statista/dataset/data/multi_col-4387.csv,"This statistic displays the prevalence of smoking, by gender in Northern Ireland in the period from April 2018 to March 2019. At this time, 46 percent of men and 56 percent of women said they had never smoked.","This statistic displays the smoking prevalence in Northern Ireland in 2018/2019, by gender. In this period, 20 percent of men and 17 percent of women were smokers.","This statistic displays the smoking prevalence in Northern Ireland in 2018/2019, by gender. In this year, 26 percent of women had never smoked, compared with 46 percent of men.","This statistic displays the smoking prevalence in Northern Ireland in 2018/2019, by gender. During the survey period it was found that 56 percent of men and 46 percent of women had never smoked."
219,two_col-16807.txt,Share of Facebook's mobile advertising revenue as of 3rd quarter 2019,statista/dataset/imgs/two_col-16807.png,statista/dataset/data/two_col-16807.csv,"As of the third quarter of 2019, 94 percent of Facebook's advertising revenues were generated via mobile, up from 92 percent in corresponding quarter of the previous year. This translates to almost 16.34 billion U.S. dollars in quarterly mobile ad revenues.","This statistic gives information on the share of Facebook's mobile advertising revenue as of the third quarter of 2019. In the last reported quarter, 94 percent of the social network's mobile ad revenue was generated through mobile devices.","This statistic presents the share of Facebook's mobile advertising revenue as of the third quarter of 2019. During the most recently measured period, 94 percent of the social network's mobile ad revenue was generated through mobile devices.","This statistic presents the share of Facebook's mobile advertising revenue as of the third quarter of 2019. During the measured period, it was found that 85 percent of the social network's mobile advertising revenue was generated through mobile devices."
220,two_col-9805.txt,"Average revenue per employee of professional services within software as a service (SaaS) companies worldwide from 2015 to 2019 (in 1,000 U.S. dollars)",statista/dataset/imgs/two_col-9805.png,statista/dataset/data/two_col-9805.csv,"This statistic depicts the average annual revenue per employee of professional services within software as a service (SaaS) companies worldwide between 2015 and 2019. During the 2019 survey, respondents reported an average annual revenue per employee of 199,000 U.S. dollars.","The statistic shows the average revenue per employee of professional services within software as a service (SaaS) companies worldwide from 2015 to 2019. In 2019, professional services in SaaS companies generated an average revenue of 199,000 U.S. dollars per employee.","This statistic shows the average annual revenue per employee of professional services within software as a service (SaaS) companies worldwide from 2015 to 2019. In 2019, the average revenue per employee of software as a service (SaaS) companies worldwide was 199 thousand U.S. dollars.","This statistic shows the average revenue per employee of professional services within software as a service (SaaS) companies worldwide from 2015 to 2019. In 2019, the average revenue per employee of professional services within software as a service (SaaS) companies was 199 thousand U.S. dollars."
221,two_col-27729.txt,Specialist physicians average age in Canada from 1978 to 2018,statista/dataset/imgs/two_col-27729.png,statista/dataset/data/two_col-27729.csv,This statistic shows the average age of specialist physicians in Canada from 1978 to 2018. The specialist physicians average age in 1978 was 47.2 years and increased to almost 50 years in the year 2018.,"This statistic shows the specialist physicians average age in Canada from 1978 to 2018. In 2018, the average age of specialist physicians in Canada was 49.6 years.","This statistic shows the average age of specialist physicians in Canada from 1978 to 2018. In 2018, the average age of specialist physicians in Canada was 49.6 years.","This statistic shows the average age of specialist physicians in Canada from 1978 to 2018. In 2018, the average age of specialist physicians in Canada was 46.7 years."
222,multi_col-1762.txt,"Median age at first marriage in South Korea from 1900 to 2019, by gender (in years)",statista/dataset/imgs/multi_col-1762.png,statista/dataset/data/multi_col-1762.csv,"In 2019, the median age at their first marriage of men in South Korea was 33.4 years, while the first marriage age of women was 30.59 years. The perception of marriage among South Koreans has changed over the past few decades and the actual number of registered marriages has also fallen significantly.","This statistic shows the median age at first marriage in South Korea from 1900 to 2019, by gender. In 2019, South Korean women had their first marriage at the age of 30.59 years, while men had a median age of 33.37 years.","In 2019, the median age at first marriage in South Korea was 33.37 years, while the median age at first marriage for women was 30.59 years.","In 2019, the median age at first marriage in South Korea was 30 years for males and 28 years for females. The median age at first marriage in South Korea has remained relatively stable since 1900, with the median age at first marriage at 28 years for males and 34 years for females at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at first marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage at second marriage"
223,two_col-19294.txt,"Number of animals used in research in the United States in 2018, by species",statista/dataset/imgs/two_col-19294.png,statista/dataset/data/two_col-19294.csv,"This statistic shows the number of animals that were used for research purposes in the United States in 2018. In 2018, about 171406 guinea pigs were used in research facilities in the United States.","This statistic shows the number of animals that were used for research in the United States in 2018, by species. In that year, some 18.25 million sheep were used in research for animal welfare.","This statistic shows the number of animals used in research in the United States in 2018, by species. In 2018, about 172,406 Guinea pigs were used for research in the U.S.","This statistic shows the number of animals used in research in the United States in 2018, by species. In 2018, about 182,580 pigs were used in research in the United States."
224,two_col-14641.txt,"Number of families living below the poverty line in the U.S. from 1990 to 2019 (in 1,000s)",statista/dataset/imgs/two_col-14641.png,statista/dataset/data/two_col-14641.csv,"This statistic shows the number of poor families in the U.S. from 1990 to 2019. In 2019, there was a total of 6.5 million poor families living in the United States. Poverty is the state of one who lacks a certain amount of material possessions or money. Absolute poverty or destitution is inability to afford basic human needs, which commonly includes clean and fresh water, nutrition, health care, education, clothing, and shelter.","In 2019, about 6.55 million families were living below the poverty line in the United States.  Poverty is the state of one who lacks a certain amount of material possessions or money. Absolute poverty or destitution is inability to afford basic human needs, which commonly includes clean and fresh water, nutrition, health care, education, clothing and shelter.","In 2019, there were about 6.55 million families living below the poverty line in the United States. Poverty is the state of one who lacks a certain amount of material possessions or money. Absolute poverty or destitution is inability to afford basic human needs, which commonly includes clean and fresh water, nutrition, health care, education, clothing, and shelter.","This statistic shows the number of families living below the poverty line in the United States from 1990 to 2019. In 2019, about 5.54 million families were living below the poverty line in the United States."
225,two_col-17304.txt,Number of monthly arrivals in tourist accommodation in Greece from July 2018 to June 2020* (in millions),statista/dataset/imgs/two_col-17304.png,statista/dataset/data/two_col-17304.csv,"In April 2020, arrivals at accommodation establishments in Greece fell to around an estimated 12 thousand due to the coronavirus (COVID-19) pandemic, down from 1.28 million recorded in the same period a year earlier. By June, the number of tourist arrivals in Greek accommodations increased to 440 thousand. Arrivals include both residents and non-resident stays in tourist accommodation.","This statistic shows the number of monthly tourist arrivals at accommodation establishments in Greece from July 2018 to June 2020. In June 2020, approximately 0.44 million tourists arrived at accommodation in Greece.","This statistic shows the number of monthly tourist arrivals at accommodation establishments in Greece from July 2018 to June 2020. In June 2020, approximately 0.44 million tourists arrived at accommodation establishments in Greece.","This statistic shows the number of monthly tourist arrivals in accommodation establishments in Greece from July 2018 to June 2020. In June 2020, the number of tourist arrivals in accommodation establishments in Greece amounted to approximately 5.45 million."
226,multi_col-566.txt,"Number of betting shops in the United Kingdom from 2009 to 2019, by operator",statista/dataset/imgs/multi_col-566.png,statista/dataset/data/multi_col-566.csv,"As of March 2019, the number there were a total of 8,320 betting shops in the United Kingdom (UK). Over the observation period, the betting company Betfred doubled the number of their premises, reaching 1,620 betting shops. Ladbrokes, on the other hand, experienced decline and as of 2019, operated 1,828 betting shops.","William Hill had the highest number of betting shops in the United Kingdom at 2,264 in March 2019, followed by Ladbrokes at 1,590. Betfred and Betfred followed in the ranking.","William Hill had the most betting shops in the United Kingdom in 2019, with 1,868. Ladbrokes had the second most betting shops, amounting to 1,529 in 2019.","This statistic shows the number of betting shops in the United Kingdom (UK) from 2009 to 2019, by operator. The number of betting shops in the UK has been increasing steadily over this period, with Betfair having the highest number of betting shops in 2019."
227,two_col-22439.txt,Tampa Bay Rays all-time RBI (runs batted in) leaders as of October 2020,statista/dataset/imgs/two_col-22439.png,statista/dataset/data/two_col-22439.csv,This statistic shows the Tampa Bay Rays all-time RBI leaders as of October 2020. Evan Longoria has the most RBI in Tampa Bay Rays franchise history with 892 runs batted in.,This statistic shows the Tampa Bay Rays all-time RBI leaders as of October 2020. Evan Longoria has the most RBI in Tampa Bay franchise history with 892 runs batted in.,This statistic shows the Tampa Bay Rays all-time RBI leaders as of October 2020. Evan Longoria has the most RBI in Tampa Bay Rays franchise history with 892 runs batted in.,This statistic shows the Tampa Bay Rays all-time RBI leaders as of October 2020. Evan Longoria has the most RBI in Tampa Bay Rays franchise history with 792 runs batted in.
228,two_col-15180.txt,Yemen: Estimated total population from 2014 to 2024 (in million inhabitants),statista/dataset/imgs/two_col-15180.png,statista/dataset/data/two_col-15180.csv,"This statistic shows the total population of Yemen from 2014 to 2024. All figures are estimates. In 2018, the total population of Yemen was estimated to amount to approximately 30.82 million inhabitants.","This statistic shows the total population of Yemen from 2014 to 2018, with projections up until 2024. In 2018, the estimated total population in Yemen amounted to approximately 30.82 million inhabitants.","This statistic shows the total population of Yemen from 2014 to 2024. All figures have been estimated. In 2018, the total population of Yemen was estimated to amount to approximately 30.82 million inhabitants.","This statistic shows the total population of Yemen from 2014 to 2017, with projections up until 2024. In 2017, the total population of Yemen amounted to approximately 32.47 million inhabitants."
229,two_col-19134.txt,Number of people who live below the poverty level in the top 25 most populated cities in the United States in 2019,statista/dataset/imgs/two_col-19134.png,statista/dataset/data/two_col-19134.csv,"This statistic shows the number of people who live below the poverty level in the top 25 most populated cities in the U.S. in 2019. In 2019, about 1.31 million people had an income below the poverty level in New York city.","This statistic shows the number of people who live below the poverty level in the top 25 most populated cities in the United States in 2019. In 2019, New York City had the highest level of poverty in the U.S., with 133,028 people living below the federal poverty level.","This statistic shows the number of people who live below the poverty level in the top 25 most populated cities in the United States in 2019. In 2019, about 131,028 people in New York lived below the poverty level.","This statistic shows the number of people who live below the poverty level in the top 25 most populated cities in the United States in 2019. In 2019, about 312,028 people in New York City lived below the poverty level."
230,two_col-14333.txt,Gross domestic product (GDP) in Catalonia between 2003 and 2019 (in million euros),statista/dataset/imgs/two_col-14333.png,statista/dataset/data/two_col-14333.csv,"This statistic shows the gross domestic product (GDP) in Catalonia between 2003 and 2019. GDP refers to the total market value of all goods and services that are produced within a country per year. It is an important indicator of the economic strength of a country. Catalonia's GDP fell sharply between 2008 and 2009, but started to grow again steady in the subsequent years.","This statistic displays the gross domestic product (GDP) of Catalonia between 2003 and 2019. The GDP of Catalonia grew continuously during this period, from approximately 153 billion euros in 2003 to approximately 250 billion euros by 2019.",This statistic shows the gross domestic product (GDP) of Catalonia between 2003 and 2019. The GDP of Catalonia increased from approximately 156.6 billion euros in 2003 to approximately 250.5 billion euros in 2019.,"This statistic shows the gross domestic product (GDP) of Catalonia between 2003 and 2019. GDP refers to the total market value of all goods and services that are produced within a country per year. It is an important indicator of the economic strength of a country. In 2019, the GDP of Catalonia amounted to approximately 220 billion euros."
231,two_col-2861.txt,Monsanto's research and development (R&D) expenditure from 2008 to 2017 (in million U.S. dollars)*,statista/dataset/imgs/two_col-2861.png,statista/dataset/data/two_col-2861.csv,"This statistic shows the research and development (R&D) expenditure of Monsanto from 2008 to 2017. In 2017, the company invested approximately 1.61 billion U.S. dollars in research and development. Monsanto was an agricultural company specialized on genetically engineered seeds. The company was headquartered in St Louis, Missouri. In September 2016, Bayer finalized a deal to take Monsanto over, which was completed on June 7, 2018.","This statistic shows Monsanto's research and development (R&D) expenditure from 2008 to 2017. In 2017, the company spent some 1.6 billion U.S. dollars on R&D. Monsanto was an agricultural company specialized on genetically engineered seeds. The company was headquartered in St Louis, Missouri.","This statistic shows Monsanto's research and development (R&D) expenditure from 2008 to 2017. In 2017, the company spent about 1.60 billion U.S. dollars on research and development. Monsanto is a U.S.-based multinational pharmaceutical company, headquartered in St Louis, Missouri.","This statistic shows Monsanto's research and development (R&D) expenditure from 2008 to 2017. In 2017, Monsanto's R&D expenditure amounted to approximately 1.75 billion U.S. dollars."
232,two_col-16492.txt,Angola: Main export partners in 2017,statista/dataset/imgs/two_col-16492.png,statista/dataset/data/two_col-16492.csv,"This statistic shows the most important export partner countries for Angola in 2017. In 2017, the most important export partner of Angola was China, with a share of 61.2 percent in exports.","This statistic shows the main export partners for Angola in 2017. In 2017, the most important export partner for Angola was China with a share of 61.2 percent in exports.","This statistic shows the main export partner countries for Angola in 2017. In 2017, the main export partner of Angola was China with a share of 61.2 percent in exports.","This statistic shows the most important export partner countries for Angola in 2017. In 2017, the most important export partner of Angola was China with a share of 61.2 percent in exports."
233,multi_col-4386.txt,"Change in over-the-top video revenue in Europe in 2014, by region",statista/dataset/imgs/multi_col-4386.png,statista/dataset/data/multi_col-4386.csv,"The statistic shows a forecast of the year-on-year change in over the top video revenue in Europe in 2014, by region. Strategy Analytics projected that subscription video on demand revenue would increase by 47 percent in 2014 in comparison to 2013.","This statistic shows the change in over-the-top video revenue in Europe in 2014, by region. In Western Europe, subscription video on demand video grew by 103 percent in 2014.","This statistic shows the change in over-the-top video revenue in Europe in 2014, by region. In Eastern Europe, subscription video on demand increased by 103 percent, while digital rental (iVOD) increased by 21 percent.","This statistic shows the change in over-the-top video revenue in Europe in 2014, by region. In 2014, subscription video revenue in Western Europe increased by 103 percent compared to the previous year."
234,two_col-11822.txt,"Most popular mobile gaming related apps in the United States as of September 2019, by reach",statista/dataset/imgs/two_col-11822.png,statista/dataset/data/two_col-11822.csv,"This statistic gives information on the most popular mobile gaming related apps in the United States as of September 2019, ranked by mobile reach. During that month, 3.7 percent of mobile users accessed the Words With Friends game. Candy Crush Saga had a mobile audience reach of 5.5 percent among mobile U.S. audiences.","This statistic gives information on the most popular mobile gaming related apps in the United States as of September 2019, ranked by reach. During the measured period, 10 percent of mobile users accessed Google Play Games. Pokémon GO was ranked second with a 5.7 percent reach.","This statistic presents the most popular mobile gaming related apps in the United States as of September 2019, ranked by reach. During the measured period, Pokémon GO was ranked first with 5.7 percent mobile reach.","This statistic presents a ranking of the most popular mobile gaming related apps in the United States as of September 2019, sorted by reach. During the measured period, Google Play Games was ranked first with a 10 percent mobile reach. Pokemon Go ranked second with a 7 percent mobile reach."
235,two_col-23002.txt,Value of venture capital invested in healthtech companies in the United States from 2014 to 2020 (in billion U.S. dollars),statista/dataset/imgs/two_col-23002.png,statista/dataset/data/two_col-23002.csv,"In 2019, 7.8 billion U.S. dollars in venture capital were invested into healthtech companies in the United States. This amount has more than doubled over the past five years - up from 3.1 billion U.S. dollars in 2014.","This statistic illustrates the value of venture capital invested in healthtech companies in the United States from 2014 to 2020. Private equity is the OTC provision of equity capital through private or institutional investments with the participation of companies in another company for a limited time in order to generate financial benefits. It can be seen that total private equity investments fluctuated overall during the period under observation, reaching a value of some 7.8 billion U.S. dollars as of 2019. The largest total value of private equity investment was found in 2017, when venture capital investment of 5.5 billion U-S. dollar was recorded.","This statistic presents the value of venture capital invested in healthtech companies in the United States from 2014 to 2020. In 2019, venture capital investments in healthtech companies in the United States amounted to 7.8 billion U.S. dollars.","This statistic presents the value of venture capital invested in healthtech companies in the United States from 2014 to 2020. In 2020, the value of venture capital invested in healthtech companies in the United States amounted to approximately 7.5 billion U.S. dollars."
236,two_col-8457.txt,"Gross value added (GVA) of the United Kingdom (UK) in 2018, by sector (in billion GBP)",statista/dataset/imgs/two_col-8457.png,statista/dataset/data/two_col-8457.csv,"This statistic shows the gross value added (GVA) in the United Kingdom (UK) in 2018, by sector. The sector with the highest level of GVA was wholesale and retail trade at 204 billion British pounds.","This statistic shows the gross value added (GVA) of the United Kingdom (UK) in 2018, by sector. The highest GVA was found in the manufacturing sector at 169.55 billion British pounds.","This statistic shows the gross value added (GVA) of the United Kingdom (UK) in 2018, by sector. In 2018, the wholesale and retail trade; repair of motor vehicles and motorcycles sector had the highest GVA, with approximately 204 billion British pounds.","This statistic shows the gross value added (GVA) of the United Kingdom (UK) in 2018, by sector. In 2018, the wholesale and retail trade and repair of motor vehicles and motorcycles sector added the most gross value to the UK economy, with 204.17 billion British pounds."
237,multi_col-941.txt,"Number of of marriages and divorces per 1,000 population in Russia from 2000 to 2019",statista/dataset/imgs/multi_col-941.png,statista/dataset/data/multi_col-941.csv,"In 2019, 6.5 marriages were registered per thousand inhabitants in Russia, compared to 4.2 divorces per thousand population. Both marriage and divorce rates in the country saw an increase between 2018 and 2019. In 2010, 8.5 marriages were registered per thousand Russians, which was the highest number recorded over the period under consideration.","In 2019, there were approximately 6.5 marriages and 4.2 divorces per 1,000 population in Russia, marking a decrease in the number of marriages and divorces compared to the previous year.","In 2019, the number of marriages and divorces per 1,000 population in Russia amounted to 6.5. The number of divorces amounted to 4.2.","This statistic shows the number of marriages and divorces per 1,000 population in Russia from 2000 to 2019. In 2019, there were 4.2 marriages and 4.3 divorces per 1,000 population in Russia."
238,multi_col-1448.txt,"Jordan: Literacy rate from 2007 to 2018, total and by gender",statista/dataset/imgs/multi_col-1448.png,statista/dataset/data/multi_col-1448.csv,"The statistic depicts the literacy rate in Jordan from 2007 to 2018. The literacy rate measures the percentage of people aged 15 and above who can read and write. In 2018, Jordan's literacy rate was around 98.23 percent.","The statistic depicts the literacy rate in Jordan from 2007 to 2018. The literacy rate measures the percentage of people aged 15 and above who can read and write. In 2018, Jordan's literacy rate was around 98.23 percent.","The statistic depicts the literacy rate in Jordan from 2007 to 2018. The literacy rate measures the percentage of people aged 15 and above who can read and write. In 2018, Jordan's literacy rate was around 98.23 percent.","The statistic depicts the literacy rate in Jordan from 2007 to 2018. The literacy rate measures the percentage of people aged 15 and above who can read and write. In 2018, Jordan's literacy rate was around 92 percent."
239,two_col-25554.txt,Retail price projection of diesel fuel for private cars in United Kingdom (UK) from 2020 to 2035 (in British pence per liter),statista/dataset/imgs/two_col-25554.png,statista/dataset/data/two_col-25554.csv,"This statistic shows a projection of the retail price for diesel fuel for private cars in the United Kingdom (UK) from 2020 to 2035, in British pence per liter. It shows that the price for diesel fuel for road vehicles in the UK is expected to increase to a total of 143.9 British pence per liter in 2035.","This statistic shows a projection of the retail price of diesel fuel for private cars in the United Kingdom (UK) from 2020 to 2035. It shows that the price is expected to be 142.9 British pence per liter in 2035, an increase compared to the previous year at 128.9 pence.",This statistic shows the retail price projection of diesel fuel for private cars in the United Kingdom (UK) from 2020 to 2035. The price of diesel is expected to increase to 143.9 British pence per liter in 2035.,"This statistic shows the retail price projection of diesel fuel for private cars in the United Kingdom (UK) from 2020 to 2035. In 2020, the retail price of diesel fuel for private cars was forecasted to be 134.4 British pence per liter. This figure is expected to increase to 143.9 British pence per liter by 2035."
240,two_col-6184.txt,"Number of inbound foreign tourist arrivals in France in 2017, by continent of residence (in millions)",statista/dataset/imgs/two_col-6184.png,statista/dataset/data/two_col-6184.csv,"During the year 2017, the great majority of foreign tourists coming to France were from Europe: 68.3 million people, while about 8.7 million tourists came from America. Moreover, about 40 percent of those who visited France in 2018 were residents of either the United Kingdom, Germany or Belgium and Luxembourg.","This statistic shows the number of inbound foreign tourist arrivals in France in 2017, by continent of residence. That year, France received 68.3 million inbound tourists from Europe.","This statistic shows the number of inbound foreign tourist arrivals in France in 2017, by continent of residence. In 2017, there were approximately 68.3 million foreign tourists arriving in France from Europe.","This statistic shows the number of inbound foreign tourist arrivals in France in 2017, by continent of residence. In 2017, the number of foreign tourists arriving in France from Europe amounted to 68.5 million."
241,two_col-19365.txt,"Distribution of reported legal abortions in Mississippi in 2018, by ethnicity*",statista/dataset/imgs/two_col-19365.png,statista/dataset/data/two_col-19365.csv,"This statistic depicts the distribution of reported legal abortions in Mississippi in 2018, by the ethnicity of women who had obtained abortions. In that year, around 72 percent of all reported legal abortions in Mississippi were performed on non-Hispanic black women.","This statistic shows the distribution of reported legal abortions in Mississippi in 2018, by ethnicity. According to the data, some 2.6 percent of all abortions performed in Mississippi were performed on Hispanic women.","This statistic shows the distribution of reported legal abortions in Mississippi in 2018, by ethnicity. In that year, some 2.6 percent of reported legal abortions in Mississippi were performed on Hispanic women.","This statistic depicts the distribution of reported legal abortions in Mississippi in 2018, by ethnicity. In that year, 21.9 percent of reported legal abortions in Mississippi were performed on Hispanic women."
242,two_col-26158.txt,Percentage of synthetic cannabinoid users that used select methods of usage as of 2016,statista/dataset/imgs/two_col-26158.png,statista/dataset/data/two_col-26158.csv,"This statistic displays the percentage of synthetic cannabinoid (SCRA) users that used SCRAs per select methods as of 2016. According to the survey, 66 percent of SCRA users used synthetic cannabinoids in a joint with tobacco.",This statistic shows the percentage of synthetic cannabinoid users that used select methods of usage as of 2016. It was found that 66 percent of respondents used joint with tobacco to make synthetic cannabinoids.,"This statistic shows the percentage of synthetic cannabinoid users that used select methods of usage as of 2016. During the survey, 66 percent of respondents stated that they used synthetic cannabinoid in conjunction with tobacco.","This statistic shows the percentage of synthetic cannabinoid users that used select methods of usage as of 2016. During the survey period, 66 percent of respondents stated that they used synthetic cannabinoid in joint with tobacco."
243,two_col-19196.txt,Do you support or oppose allowing people to make their own guns on a 3D printer?,statista/dataset/imgs/two_col-19196.png,statista/dataset/data/two_col-19196.csv,"This statistic shows the share of Americans who support allowing people to print their own guns on a 3D printer in 2019. During the survey, 53 percent of respondents said that they strongly oppose allowing people to make their own guns on a 3D printer.",This statistic shows the results of a survey among adult Americans on whether they support or oppose allowing people to make their own guns on a 3D printer. 8 percent of respondents stated that they support somewhat allowing people the freedom of the creator to make his own guns.,This statistic shows the results of a survey among adult Americans on whether they support or oppose the right to make people's own guns on a 3D printer. 8 percent of respondents strongly supported the right to make people's own guns on a 3D printer.,"This statistic shows the results of a survey among Americans on whether they support or oppose allowing people to make their own guns on a 3D printer. During the survey, 53 percent of respondents stated they support the idea of people being able to make their own guns on a 3D printer."
244,multi_col-5549.txt,"Average monthly savings as percentage of average income in Great Britain in summer and autumn 2014, by age group",statista/dataset/imgs/multi_col-5549.png,statista/dataset/data/multi_col-5549.csv,"This statistic presents the average amount saved by Great Britain's adult population monthly, expressed as a percentage of average income during summer and autumn 2014, by age group. During that time the highest share of their income was saved by people over 65 in summer 2014 (making monthly savings over 9 percent of their average income). The lowest share of their income was saved by people aged 45 to 54 in summer 2014(saving 6.37 percent of their average income).","This statistic shows the average monthly savings as percentage of average income in Great Britain in summer and autumn 2014, by age group. In summer 2014, the monthly savings of 65-year-olds amounted to 9.21 percent of the average income.","This statistic shows the average monthly savings as percentage of average income in Great Britain in summer and autumn 2014, by age group. In autumn 2014, the average monthly savings of people aged between 45 and 54 amounted to 7.42 percent of the average income.","This statistic shows the average monthly savings as percentage of the average income in Great Britain in summer and autumn 2014, by age group. In autumn 2014, the average monthly savings as percentage of the average income of people aged 16 to 24 amounted to 9.21 percent."
245,multi_col-3176.txt,"Percentage of long-haul travel market from Brazil, China and India to Western Europe and the U.S. in 2010",statista/dataset/imgs/multi_col-3176.png,statista/dataset/data/multi_col-3176.csv,"This graph depicts the percentage of long-haul travel from Brazil, China and India to Western Europe and the U.S. in 2010. Eleven percent of long-haul travel from India went to the U.S. in 2010.","The statistic shows the share of long-haul travel from Brazil, China and India to Western Europe and the U.S. in 2010. In 2010, 38 percent of the longhaul travel market in the United States came from China.","This statistic shows the percentage of the long-haul travel market from Brazil, China and India to Western Europe and the U.S. in 2010. In 2010, about 29 percent of the U.S. long-haul travel market originated from Brazil.","This statistic shows the percentage of the long-haul travel market from Brazil, China and India to Western Europe and the U.S. in 2010. In 2010, 37 percent of the long-haul travel market from Brazil to Western Europe and the U.S. was long-haul."
246,two_col-2819.txt,Greece: Employment from 2010 to 2020 (in millions),statista/dataset/imgs/two_col-2819.png,statista/dataset/data/two_col-2819.csv,"This statistic shows employment in Greece from 2010 to 2018, with projections up until 2020 .In 2018, around 3.83 million people were employed in Greece.","This statistic shows the employment in Greece from 2010 to 2018, with projections up until 2020. In 2018, around 3.83 million people were employed in Greece.","This statistic shows the employment in Greece from 2010 to 2018, with projections up until 2020. In 2018, around 3.83 million people were employed in Greece.","This statistic shows the employment in Greece from 2010 to 2018, with projections up until 2020. In 2018, around 3.61 million people were employed in Greece."
247,multi_col-3327.txt,Activities that most respondents are passionate about in Poland in 2018,statista/dataset/imgs/multi_col-3327.png,statista/dataset/data/multi_col-3327.csv,"Over 60 percent of Polish respondents were passionate about listening to music in 2018. Enjoying movies, books, and TV shows was also a popular leisure activity. Women were more likely to be excited about such activities; cycling was the only hobby more popular among men.","This statistic shows the activities that most respondents are passionate about in Poland in 2018. Polish respondents were most passionate about listening to music, with 61 percent of men and 66 percent of women stating that they were passionate about watching movies.",This statistic shows activities that most Polish respondents are passionate about in 2018. 63 percent of men and 66 percent of women stated that listening to music was one of the activities that they were most passionate about.,This statistic shows the activities that most respondents in Poland are passionate about in 2018. During the survey period it was found that 66 percent of men and 60 percent of women were listening to music.
248,two_col-31.txt,Instagram accounts with the most followers worldwide as of December 2020 (in millions),statista/dataset/imgs/two_col-31.png,statista/dataset/data/two_col-31.csv,Footballer Cristiano Ronaldo heads the ranking of the most popular Instagram accounts as of December 2020. He is the most-followed person on the photo sharing app platform with nearly 244 million followers. Instagram's own account was ranked first with over 369 million followers.,"As of December 2020, Kylie Jenner had 201.91 million followers on the photo sharing app Instagram. Cristiano Ronaldo ranked second with 243.95 million followers, followed by Ariana Grande with 208.1 million.","As of December 2020, the Instagram account with the most followers worldwide was Cristiano Ronaldo's account with 243.95 million followers. The social network's most popular account was Instagram, which had 380.09 million followers.","As of December 2020, Cristiano Ronaldo was the Instagram account with the most followers worldwide, with 380.09 million followers. The Brazilian singer had 243.95 million followers on the photo sharing app."
249,two_col-27546.txt,United Kingdom's share of exchange traded derivatives in international financial markets from 1992 to 2015,statista/dataset/imgs/two_col-27546.png,statista/dataset/data/two_col-27546.csv,"This statistic shows the share of exchange traded derivatives in international financial markets assigned to United Kingdom (UK) from 1992 to 2015; data for 2015 missing. According to the source: ""Exchange-traded derivatives are products listed for trading on public exchanges and consist mostly of options and futures contracts. Exchange-traded derivatives typically have standard contract specifications and exchanges make pricing available on a real time basis promoting transparency."" In 2014, the UK's exchange traded derivatives share reached six percent, while in 1992 it was measured at the level of twelve percent.","This statistic shows the share of exchange traded derivatives in international financial markets assigned to the United Kingdom (UK) from 1992 to 2015. The United Kingdom is the largest trading partner of the European Union (EU). In 2014, the UK's share of derivatives amounted to 6 percent.","This statistic shows the United Kingdom's share of exchange traded derivatives in international financial markets from 1992 to 2015. In 2015, the share of exchange traded derivatives in international financial markets in the United Kingdom was six percent.","This statistic shows the share of exchange traded derivatives in international financial markets held by the United Kingdom from 1992 to 2015. In 2015, the share of exchange traded derivatives held by the United Kingdom in international financial markets amounted to 12 percent."
