number,File_No,title,ocr-text,img,Gold Standard,OCR-BART,OCR-T5
428,multi_col-2778.txt,Wide majority of conservative Republicans rate police officers very warmly % who rate police (warmestrating) officers on a feeling thermometer from 0 (coldest rating) to 100 (warmestrating) Very cold Somewhat cold Neutra Somewhat warm Very warm,"Wide majority of conservative Republicans rate police  | officers very warmly  | % who rate police (warmestrating) officers on a feeling thermometer from 0 (coldest  | rating) to 100 (warmestrating)  | Very cold Somewhat cold Neutra Somewhat warm Very warm  | Total 10 8  | 16  | 19  | 45  | Republican 3 2  | 12  | 74  | Conserv 21  | 13  | 77  | Mod/Lib 6 8  | 8  | 65  | Democrat 9 10  | 21  | 24  | 33  | Cons/Mod  | 9 6  | 24  | 17  | 41  | Liberal 9 15  | 19  | 32  | 24  | Independ lent 8 8  | 19  | 22  | 43  | Lean Rep 11 6  | 19  | 51  | Lean Dem 18 12  | 23  | 25  | 22  | Note: Feeling thermometer ratings: very cold (Oto 24), somewhat.oold (25-49), neutral (50),  | somewhatwa rm (51-75), very wa rm (76 100).  | somewhatwa Source: Survey rm conducted (51-75), very Aug 8-21, (76 2017. 100).  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2778.png,"Police officers are also viewed more positively by Republicans than Democrats. Among Republicans, 86% give officers a warm rating, including 74% who rate officers very warmly. Among Democrats, 57% give officers a warm rating on the scale (including just 33% who rate officers very warmly), while 21% offer a neutral rating and 19% offer a cold rating.
Conservative and moderate Democrats (58%) and liberal Democrats (56%) are about equally likely to rate officers warmly, but liberal Democrats are less likely to offer a very warm rating.","A wide majority of Republicans (77%) give officers a warm rating on the scale (between 51 and 100), including 45% who rate them very warmly (0-49). Conservative Republicans are especially likely to give a very warm rating to officers (77% warm vs. 65% cold).","Republicans are far more likely than Democrats to give officers high marks on their assessments of the police force, including six-in-ten Republicans who give them very cold ratings on the scale (77). A significantly smaller share of Republicans (74%) give officers a warm rating on the scale (51 to 75), while just 13% give a somewhat warm rating on the scale (0-49)."
429,multi_col-2826.txt,"Little confidence in Putin, low opinions of Russia Regional medians saying Asia Pacific Middle East","Little confidence in Putin, low opinions of Russia  | Regional medians saying  | Confidence in Putin to  | Russia's power and  | The government of Russia  | Confidence do the right thing in Putin  | influence is a major  | respects the personal  | Favorable view of Russia freedoms respects of its personal people  | regarding world affairs  | threat to our country major  | Africa  | 35%  | 31%  | 34%  | 51%  | Asia Pacific  | 29  | 29  | 37  | 36  | Middle East  | 28  | 35  | 35  | 42  | Latin America  | 20  | 30  | 34  | 19  | Europe  | U.S.  | 23  | 29  | 14  | 26%  | 31%  | 34%  | 30%  | GLOBAL MEDIAN  | GLOBAL MEDIAN  | GLOBAL MEDIAN  | GLOBAL MEDIAN  | Note: Global median of37 countries.  | Source Spring 2017 Globa Attitudes Survey Q12e Q170, Q27d & Q30c  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2826.png,"Around the world, few people trust Russian President Vladimir Putin to do the right thing when it comes to international affairs. A global median of roughly one-in-four (26%) say they have confidence in the Russian leader. Doubts about Putin’s handling of foreign policy, however, do not necessarily coincide with perceptions of Russia as a security risk. Across 37 countries, a median of 31% describe Russia’s power and influence as a major threat to their country – identical to the median percentage who say the same about China, and similar to the median share (35%) that sees America’s power and influence as a large threat.","Globally, a median of just 31% have a favorable opinion of Putin, while 51% have an unfavorable view. In the Middle East, Putin is much more popular than in Asia, the North and the Asia-Pacific region. A median of 51% see the Russian government favorably, compared with 28% who say the same in the West.","Globally, a median of just 30% see Russia’s power and influence as a major threat. In the U.S., confidence in Putin is lower than in any other region. Globally, a median of 31% say they have confidence in Putin to do the right thing in world affairs. In the U.S., confidence in Putin is even lower, with 26% saying they trust his authority a lot. Globally, confidence in Putin is even lower, with 31% saying she protects the personal freedoms of its people."
430,multi_col-777.txt,"Democrats more likely than Republicans to think the government should be responsible for ensuring home broadband, cellphone services amid COVID-19 % of U.S. adults who say the federal government has or does not have the responsibility to ensure all Americans have outbreak High-speed internet connection at home","Democrats more likely than Republicans to think the  | government should be responsible for ensuring home  | broadband, cellphone services amid COVID-19  | % of U.S. adults who say the federal government has or does not have the  | responsibility to ensure all Americans have  | during the coronavirus  | outbreak  | High-speed internet connection at home  | Govt has this  | Govt does not have  | responsibility  | this responsibility  | All adults  | 37  | 62  | Rep/Lean Rep  | 22  | 77  | Dem/Lean Dem  | 52  | 48  | Cellphone services  | Govt has this  | Govt does not have  | responsibility  | this responsibility  | All adults  | 34  | 65  | Rep/Lean Rep  | 21  | 78  | Dem/Lean Dem  | 45  | 54  | Note: Those who did not give an answer ware not shown.  | Source: Survey of U.S. adults conducted April 7-12, 2020.  | ""53% of Americans Say the Internet Has Been Essential During the COVID-19 Outbreak""  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-777.png,"While there is not clear majority support among either party for this, Democrats and independents who lean toward the Democratic Party are more likely than their Republican and Republican-leaning counterparts to believe that the government should have a role in providing these services. Roughly half of Democrats (52%) say the federal government has a responsibility to ensure that all Americans have a high-speed internet connection at home during the COVID-19 outbreak, while just 22% of Republicans hold his view. Democrats are also about twice as likely as Republicans to believe the federal government has responsibility to provide cellphone service for all Americans amid this crisis (45% vs. 21%).","A majority of Americans (62%) say the federal government has or does not have the responsibility to ensure all Americans have high-speed internet access at home, but some 62% say the government does have this responsibility.","A majority of Americans (62%) say the government has the responsibility to ensure that all Americans have high-speed internet access at home. However, Democrats are more likely than Republicans to hold this view (52% vs. 22%)."
431,multi_col-2227.txt,"Most users tweeted about timmi gration during once a week or less on average gration during first month of Trump's presidency % of users who, on average, tweeted about immigration with a link up to Semi-daily 2 but most tweets were posted by more % of immigration-related tweets with a linkfrom","Most users tweeted about timmi gration during  | once a week or less on average gration during  | first month of Trump's presidency  | % of users who, on average, tweeted about immigration  | with a link up to  | Weekly  | 84%  | Daily  | Semi-daily 2  | Hourly <1  | Semi-hourly <1  | but most tweets were posted by more  | frequent users  | % of immigration-related tweets with a linkfrom  | Weekly tweeters  | 26%  | Daily tweete rs  | 32  | Semi-daily tweeters  | 20  | Hourly tweeters  | 19  | Semi-hourly tweeters 2  | Note: N=2, 004 .372 users N=9 .737 075 tweets.  | Source Pew Resea urch Centerana aining lysis of English-anguage tweets  | about immigration conta aining atleastone external linkthatwere  | posted immigration Jan 20-Feb 20. 2017 aining  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2227.png,"Yet most of these users did not tweet about immigration regularly. On average, the large majority (84%) of those who tweeted about immigration with a link did so just once a week or less during the period studied. In contrast, a smaller core tweeted daily or more – 14% of users in this dataset shared a tweet about immigration with a link daily, on average, with another 2% doing so semi-daily (more than once per day, but less than hourly), and fewer than 1% posting hourly, on average.
As a result, the large majority of users who tweeted weekly or less did not have a large impact on the overall volume of tweets about immigration that contained a link, producing only about a quarter of them (26%). Instead, the users who produced the most tweets were those who tweeted daily (32% of tweets). Semi-daily and hourly users each produced about one-in-five of them (20% and 19%, respectively). (These user types – also referred to as tweeters – are used throughout the rest of the post.)","Overall, 84% of all Twitter users tweeted about immigration at least once a week during the first month of Trump’s presidency, according to a new Pew Research Center analysis of tweets between Jan. 20 and Feb. 20, 2017. (The analysis is restricted to the active Twitter users, but many of these users are more frequent users than others.)","But while a significant share of Twitter users – on average – posted about immigration-related topics at least once a week during Trump’s presidency, the impact of the second term was smaller. A small share (32%) of daily tweeters posted about immigration topics with a link to at least one of the two weekly links, compared with 19% of hourly tweeters. (The larger share of tweeters focused on topics other than immigration than the most recent link during Trump’s presidency.)"
432,multi_col-3004.txt,"British divided on Brexit and trust in the national government, but Conservative Party supporters say Brexit will be good for UK and trust their leaders","British divided on Brexit and trust in the national government, but Conservative  | Party supporters say Brexit will be good for UK and trust their leaders  | Do you think the LUK leaving the  | How much do you trust the national  | European Union will be a good thing  | government to do what is rightfor the  | or a bad thing for the UK?  | United Kingdom?  | Bad thing Good thing  | No trust  | Trust  | TOTAL  | 49%  | 48%  | 44%  | 48%  | 31  | 63  | 23  | 76  | Conservative Party  | Labour Party  | 34  | 42  | 59  | 55  | Liberal Democrats  | 16  | 45  | 77  | 55  | Source: Spring 2017 Global Attitudes Survey. Q4 & Q48b.  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-3004.png,"Political observers have suggested that Prime Minister May called early elections in order to increase the number of Conservative Party seats in Parliament, thus strengthening her ability to negotiate with the EU over Brexit terms. Currently the British government receives mixed reviews from average citizens: 49% of Brits say they can trust the national government somewhat or a lot, and 48% say they have little or no confidence in the government to do the right thing for the UK.",But Conservative supporters are far more positive about Brexit than are the rest of the UK. Roughly three-quarters of Conservative supporters (76%) say Brexit will be a good thing for the UK and 76% trust their party’s leaders. Just 34% of liberal Democrats say the same.,"British adults do not trust the national government enough to do the right thing in world affairs. When asked whether they think the Brexit agreement will be good or bad for the UK, a majority of British adults (48%) say they trust the EU, while just 31% say they trust the Labour Party."
433,multi_col-3260.txt,Those who favor right-wing populist parties more likely to prefer strong economic relationship with Russia the Having a strong economic relationship with disputes Russia is more important than the tough with Russia on foreign policy disputes Among those with a favorable view of Among those with an unfa vora ble view of,"Those who favor right-wing populist parties more likely  | to prefer strong economic relationship with Russia  | the Having a strong economic relationship with disputes Russia is more important than  | the tough with Russia on foreign policy disputes  | Among those with a favorable view of  | Among those with an unfa vora ble view of  | Alternative for Germany  | 72%  | Germany  | 56%  | Northern eague  | 61  | Italy  | 53  | National Front  | France  | 46  | Party for Freedom  | 58  | Netherla unds  | UK Independence Party  | 58  | UK  | 37  | Swedish Democrats  | 32  | Sweden  | 24  | Source: Spring 2016 Global Attitudes Survey,  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-3260.png,"Within these countries, those who hold favorable views of right-wing populist parties – like the Alternative for Germany (AfD) or Italy’s Northern League – are more likely to express confidence in Putin than those who hold unfavorable views of those parties. Just about half of those who give positive ratings to the AfD and 46% who favor the Northern League say they are confident Putin will do the right thing regarding world affairs.
People in the UK and Sweden with positive views of right-wing populist parties are also significantly more likely than those who are unfavorable toward right-wing populist parties to share confidence in Russia’s president.
Support for a strong economic relationship with Russia is more widespread than confidence in Putin. In Germany, Italy, France, the Netherlands and the UK, majorities of those who favor right-wing populist parties say that having a strong economic relationship with Russia is more important than being tough with Moscow on foreign policy disputes.
Nearly three-quarters (72%) of those favorable to the AfD and six-in-ten of those favorable to the National Front want a stronger economic relationship with Russia over an adversarial geopolitical one. In the Netherlands, those who view the right-wing Party for Freedom favorably are 17 percentage points more likely to say they prefer having strong economic ties with Moscow to being tough with Russia on foreign policy disputes; in the UK, the difference between the competing views is an even wider 21 points.",Those with a favorable opinion of right-wing populist parties in Europe are more likely than those with unfavorable views to prioritize having a strong economic relationship with Russia over having a tough with Russia on foreign policy disputes. Roughly three-quarters (72%) of those who have a positive opinion of the Alternative for Germany party (AfD) say a strong relationship is more important. This compares with 56% among the rest of the French public.,"Those who have a favorable opinion of right-wing populist parties in Germany and Italy are much more likely than those who have an unfavorable opinion of these parties to prefer a strong economic relationship with Russia. That is especially true of the two right-wing populist parties, which have been in close contact with Russia since the establishment of the United States in 1935. The exception is the case among Sweden Democrats, which has been in close contact with Russia since the establishment of the United Kingdom in 1935."
434,multi_col-5255.txt,Palestinian Opinion of Hamas Declines Do you have a opinion of Hamas?,Palestinian Opinion of Hamas Declines  | Do you have a opinion of Hamas?  | 80%  | Unfavorable  | 56  | 53  | 60  | 48  | 40  | 45  | 33  | 35  | 20  | Favorable  | 2007 2008 2009 2010 2011 2012 2013 2014  | Source: Spring 2014 Global Attitudes survey. Q15n.  | PEW RESEARCH CENTER ,pew/dataset/imgs/multi_col-5255.png,"Overall, most people surveyed have an unfavorable impression of Hamas, a militant Palestinian organization that is in control of the Gaza Strip and designated a terrorist organization by the U.S. This includes people who live under its rule.
More than half in the Palestinian territories (53%) have an unfavorable view of Hamas, with only about a third (35%) expressing positive views. Negative views are higher in the Hamas-led Gaza Strip (63%), up from 54% in 2013. In the Fatah-led West Bank, 47% have an unfavorable opinion of Hamas.","The Palestinian Authority’s prime minister, Benjamin Netanyahu, gets low ratings for his handling of the Gaza Strip: Just 2% have a favorable opinion of Hamas, while 75% have an unfavorable opinion. This opinion has fluctuated in recent years, with the current poll showing a positive direction for the organization. In 2011, a majority (56%) of Palestinians had a favorable view of the Hamas.","Despite growing disillusionment with Hamas and its organization, the Palestinian public’s opinion of the organization has declined sharply in recent years. Currently, 44% of Palestinians have a favorable opinion of Hamas, down from 56% in 2013. In 2013, a year earlier, 71% had a favorable view of Hamas."
435,multi_col-2498.txt,"Naturalization rates up among most immigrant groups in the U.S. since 2005 country % of immigrants eligible for USS citizenship who have naturalized, by country of origin","Naturalization rates up among most immigrant groups  | in the U.S. since 2005  | country % of immigrants eligible for USS citizenship who have naturalized, by  | country of origin  | Country  | 2005  | 2015  | Percentage 2005-2015 point change,  | Percentage 2005-2015 point change,  | Ecuador  | 55%  | 68%  | +12  | India  | +12  | 68  | 80  | Peru  | 72  | 63  | +g  | Haiti  | 772  | 63  | +9  | Vietnam  | 79  | 86  | 69  | Dominican Rep.  | 74 71 67 38 62  | 81 78 74 44 67 85 80 48 64 82 62 42 76  | Poland  | Jamaica  | Colombia  | +6  | Guatemala  | +6  | 80 62  | AII  | +6  | +5 +5  | Iran  | 76 44 38 60 78 58 75  | South Korea  | El Salvador  | +5  | Top 20  | +4  | +3 +3 +3  | Philippines  | Canada  | Mexico  | Germany  | +1  | Cuba  | 69  | 68  | 77  | China  | 76  | Honduras  | 2  | 45  | 43  | Note: Naturalization is the process through which U.S lawful permanentresidents who  | fulfill length ofstay and other requirements become y. S. citizens. For the purpose ofthis  | analysis, eligibility to apply for citizenship is assigned to all lawfulimmigrants who are age  | 18 or older and have beenin the U.S. for atleastfive years (three for those marriedto a  | U.S. citizen). Hong Percentage changes are computed before numbers are rounded China  | includes Hong Percentage Kong and changes Taiwan.  | Source: (IPUMS). Pew Research Center estimates based on augmented 2015 American Community  | Survey (IPUMS).  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2498.png,"By 2015, eligible immigrants from India had one of the higher naturalization rates (80%) due to a 12-percentage-point increase in its naturalization rate since 2005. Only eligible immigrants from Ecuador (68% in 2015) had as large an increase. This is a bigger increase than for U.S. immigrants overall, among whom naturalization rates jumped from 62% in 2005 to 67% in 2015. (Eligible immigrants from Vietnam, 86%, and Iran, 85%, had the highest naturalization rates of any group in 2015.)","The share of foreign-born immigrants who have naturalized in the U.S. has increased by 14 percentage points since 2005, according to new Pew Research Center estimates based on the Census Bureau’s American Community Survey. This is a significant increase from the last decade, when three-in-ten lawful immigrants from Ecuador were naturalized. The increase in naturalization rates among these immigrant groups represents a 9 percentage point increase.","Naturalization rates have increased among the U.S. immigrant population since 2005, according to a Pew Research Center analysis of government data."
436,multi_col-3635.txt,U.S. public show signs of engaging with long-form articles on cell phones,"U.S. public show signs of engaging with  | long-form articles on cell phones  | Within cellphone  | news habits  | Long form articles get more  | And they get about the  | Long than time twice of short the form engaged articles get  | same number of visitors  | time of short form articles  | Average engaged time  | Average number of  | across complete  | complete interactions  | interactions  | per article  | 123 sec  | 1,530 1,576  | 57 sec.  | Long Short-  | Long Short  | form  | form  | form  | form  | Note: a complete interaction represents allofa unique visitor's  | sessions with one articleon a ce liphone.  | Source: Pew Research Centeranalysis ofSeptember 2015 Parse ly  | anonymized Reading data ofdigital news publishers  | ""Long-form Reading ofdigital Shows Signs oflife in Our Mobile News World""  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-3635.png,"Mobile is becoming a preferred device for digital news. The portion of Americans who ever get news on a mobile device has gone up from 54% in 2013 to 72% today. Two-thirds (66%) of Americans get news on both desktop/laptop and mobile, but more of those prefer mobile (56%) than desktop (42%).
Long-form journalism has a place in today’s mobile-centric society. Cellphone users spend more time on average with long-form news articles than with short-form. In fact, the total engaged time with articles 1,000 words or longer averages about twice that of the engaged time with short-form stories: 123 seconds compared with 57. And on average, long-form content attracts about the same number of visitors as short-form content.","The Center’s study of mobile news habits finds that those who consume long form articles are more likely to engage with those in the long form form than those who only consume the short form articles. In fact, our study found that nearly two-thirds of users who are long-form articles get more engagement with the same amount of time on cell phones than those in short form. And about six-in-ten (57%) of those who are short-form readers get more visitors on mobile devices.","The mobile news environment is especially dynamic when it comes to engaging with long-form content. Mobile news publishers consistently publish short, engaging and action-packed stories on cell phones. In this regard, we found that mobile news consumers are increasingly engaged with short-form content and have an engaging experience across a wide range of topics. An average of one-third of mobile visitors per article reads one or more of these short forms, and one or more of these articles gets more read per page. By comparison, mobile news publishers produce an average of one-page views per article, resulting in roughly two-sided interactions per page"
437,multi_col-3888.txt,Republicans have less favorable view of the GOP % of each who have a favorable opinion of Republican Party Democratic Party Re publican Democrat Independ lent,Republicans have less favorable view of the GOP  | % of each who have a favorable opinion of  | Republican Party  | Democratic Party  | Re publican  | Democrat  | Independ lent  | 93  | 89  | 9  | 88  | THN  | 68  | sunn V 28  | sunn 28  | sunn 22 V  | 12  | 2009 2011  | 2013  | 2009  | 2011  | 2013  | 2015 16  | 2015 16  | Rep-leaning find ependent  | Dem-leaning independent  | 76  | Whn  | 63  | 25  | 18  | 15  | 2009 2011 2013  | 2015 16  | 2009  | 2011  | 2013  | 2015 16  | Source: Survey conducted April-2219 2016.  | PEW RESEARCH CENTER ,pew/dataset/imgs/multi_col-3888.png,"In October, 37% viewed the Republican Party favorably and 58% viewed it unfavorably. The decline in favorability since then has largely come among Republicans themselves: In the current survey, 68% of Republicans view their party positively, down from 79% last fall.
The latest national survey by the Pew Research Center, conducted April 12-19 among 2,008 adults, finds that Democrats have a far more favorable impression of their party than Republicans have of theirs. Nearly nine-in-ten Democrats (88%) view their party favorably, which is 20 points higher than Republicans’ ratings of the GOP (68%).
Just 28% of independents view the Republican Party favorably, while 37% say they have a favorable impression of the Democratic Party. Notably, just 43% of Republican-leaning independents view the GOP favorably, while 50% hold a negative opinion of the party.","Today, about as many say they have a favorable view of the Republican Party (31%) as say the same about the Democratic Party (22%). Opinions among Republicans have been much more positive in recent years; today, 88% of Republicans view the GOP favorably.","Attitudes toward the Republican Party have become more negative over the past year. Currently, 68% of Republicans have a favorable opinion of the GOP, compared with 28% who have an unfavorable view of the Democratic Party. Views of the GOP have turned more negative in recent years: In January, 64% of Republicans had a favorable opinion of the GOP, compared with 28% who did so in January 2011."
438,two_col-374.txt,"Trump's confirmed judges have faced more Senate Trump's anno votes than those judges of other presidents Average number of anno votes per confirmed federal judge, by president 22. 6 JFK LBJ Nixon Ford Carter Reagan Bush Clinton GW Obama Trump","Trump's confirmed judges have faced more Senate  | Trump's anno votes than those judges of other presidents  | Average number of anno votes per confirmed federal judge,  | by president  | 22. 6  | 6  | 2.0  | 1.3  | 0.5  | 0.6  | 0.1  | 0.1  | 0. 1  | 0.4  | 0.5  | JFK LBJ Nixon Ford Carter Reagan Bush Clinton GW Obama Trump  | Bush  | Note: Includes only Senate: confirmed Article III jud Iges. Totals reflect 'no"" votes  | cast during confirma tion votes, not during cloture or committee votes Judges who  | faced multiple confirmation votes beca use they held multiple judicial seats are  | counted more than once. Trump total as of March 6, 2018  | Source: Pew Research Center ana lysis of Federal Judicial Center data.  | PEW RESEARCH CENTER ",pew/dataset/imgs/two_col-374.png,"President Donald Trump has appointed 29 judges to the federal bench since his inauguration, including 14 appeals court judges and a Supreme Court justice, Neil Gorsuch. While Trump has moved quickly to put his stamp on the federal judiciary, his judges have also faced a record amount of opposition, at least based on the average number of Senate votes cast against them.
The 23 men and six women Trump has successfully appointed so far have faced a total of 654 “no” votes on the floor of the Senate, according to a Pew Research Center analysis of data from the Federal Judicial Center and the U.S. Senate. That works out to an average of nearly 23 votes against each confirmed judge – by far the highest average for any president’s judges since the Senate expanded to its current 100 members in 1959.
The 330 judges Barack Obama appointed during his eight years in office faced an average of six votes against them. George W. Bush’s 328 confirmed judges faced an average of two, and Bill Clinton’s 382 judges faced an average of just over one. (This analysis counts judges for each Senate confirmation vote they faced. Some judges held multiple judicial positions and are counted more than once. Clarence Thomas, for instance, is counted twice under George H.W. Bush’s total because Thomas was confirmed to two separate positions that each required a confirmation vote: first to a seat on the U.S. Court of Appeals for the District of Columbia Circuit in 1990, then to the Supreme Court in 1991.)","Trump’s confirmed judges have had more votes than those of other recent presidents at the same juncture in their presidency. The average number of confirmed judges was 22.6 votes per year for George W. Bush, who received his most recent Senate confirmation votes in January 2017. That compares with 0.5 votes for Clinton, 1.0 for George H.W. Bush and 0.0 votes for Obama.","Judges of the United States Supreme Court and other justices have received more votes than those of other U.S. presidents. As of March 2018, Trump’s judges had cast an average of 0.6 votes, compared with 2.6% of his predecessors, Barack Obama, Clinton and George W. Bush."
439,multi_col-2115.txt,"While trust in news media, parliament and banks varies, most Western Europeans say they trust their military Trust","While trust in news media, parliament and banks varies, most Western Europeans  | say they trust their military  | Trust  | Banks & financial  | The military  | The news media  | Parliament  | institutions  | France  | 84%  | 39%  | 33%  | 35%  | UK  | 82  | 54  | 36  | 32  | Italy  | 82  | 29  | 16  | 29  | Sweden  | 77  | 62  | 64  | Denma rk  | 74  | 56  | 50  | 47  | Netherla unds  | 71  | 65  | 68  | 67  | Germany  | 70  | 52  | 55  | 64  | Spain  | 66  | 18  | 16  | 31  | MEDIAN  | 76  | 53  | 43  | 41  | Source: Survey ofeightWestern European countries conducted Oct 30-Dec. 20 2017.  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2115.png,"For example, across the eight European nations polled, a median of only 53% expressed confidence in banks and financial institutions. This trust varied by region: While about half or more in each of the five northern European countries surveyed said they trust banks, only 18% in Spain, 29% in Italy and 39% in France said the same.","Western Europeans have a strong reputation for trust in the news media, parliament and banks, and most people express confidence in their military to do the right thing in world affairs. But Western Europeans also differ from Americans in many other respects, according to a Pew Research Center survey conducted in October and December.","Trust in financial institutions, the news media and parliament also vary across countries. A median of 76% across the eight countries surveyed say they trust their military institutions to do the right thing in world affairs. In France, the past decade has seen a particularly sharp decline in trust in these institutions. Majorities in each country say they trust the news media, parliament and banks."
440,multi_col-7212.txt,Race for Media Exposure Edwards,Race for Media Exposure  | Main Newsmaker  | Edwards  | Significant Presence  | Significant Presence  | Bush  | B Clinton  | McCain (R)  | H Clinton (D)  | Obama (D)  | 20  | 40  | 60  | .80  | Percent of Cam spaign Stories: June 2. 8. 2008  | Note: Main Newsmaker means 50% or more of a story must be about that candidate  | Significant Presence means between 25% to 50% of the story must be about that candidate ,pew/dataset/imgs/multi_col-7212.png,"In the final week of the 2008 Democratic primary campaign, Obama was the top newsmaker. In all he appeared as a dominant or significant factor in 77% of the campaign stories, according to PEJ’s Campaign Coverage Index for June 2-8. That was his highest single-week total for the year. Clinton trailed him in the battle for exposure, a major figure in 60% of stories. (An analysis of primary-season coverage from Jan. 6 through June 8 reveals that on an average week, Obama registered in 57% of the coverage compared to 50% for Clinton. McCain trailed badly at 27%.)","Edwards is the clear front-runner for the Democratic presidential nomination: He has dominated campaign coverage for more than a week, accounting for 25% of all campaign stories. Clinton has the second spot, following George W. Bush. McCain has not led the other candidate in terms of campaign coverage since the week of June 2, when he became the presumptive Republican nominee following his victories in the GOP Super Tuesday primaries.","The latest national survey by the Pew Research Center for the People & the Press, conducted June 2-8 among 1,507 adults, finds that despite the sweeping changes in the media coverage, Sen. Clinton still lags behind Obama at 51%. And the main story is about Obama, which has received more coverage than any other candidate this year."
441,two_col-477.txt,"Without future immigrants, working-age population in U.S would decrease by 2035 Working-age population (25 64), in millions with 2015-35","Without future immigrants, working-age population  | in U.S would decrease by 2035  | Working-age population (25 64), in millions  | with 2015-35  | immigration  | 183  | 173  | 18m  | 160  | -0  | 166  | 138  | 118  | without 2015-35  | immigration  | Projected  | 1965  | 1975 1985  | 1995 2005  | 2015  | 2025  | 2035  | Note: Numbers for 2015 onward are projections.  | Source: Pew Research Center estimates for 1965 2015 based on adjusted census  | data; Pew Research Center projections for 2015 2035.  | PEW RESEARCH CENTER ",pew/dataset/imgs/two_col-477.png,"Immigrants are driving overall workforce growth in the U.S. As the Baby Boom generation heads toward retirement, growth in the nation’s working-age population (those ages 25 to 64) will be driven by immigrants and the U.S.-born children of immigrants, at least through 2035. Without immigrants, there would be an estimated 18 million fewer working-age adults in the country in 2035 because of the dearth of U.S.-born children with U.S.-born parents. However, immigrants do not form a majority of workers in any industry or occupational group, though they form large shares of private household workers (45%) and farming, fishing, and forestry occupations (46%).","The number of adults in the prime working ages of 25 to 64 – 173.9 million in 2015 – will rise to 183.2 million in 2035, according to Pew Research Center projections. That total growth of 10 million over two decades will be lower than the total in any single decade since the Baby Boomers began pouring into the workforce in the 1960s. The growth rate of working-age adults will also be markedly reduced.","Immigrants are projected to play the primary role in the growth of the American working-age population in the coming decades. The number of working-age immigrants is projected to increase from 33.9 million in 2015 to 38.5 million by 2035, with new immigrant arrivals accounting for all of that gain. Absent these new arrivals, the total projected U.S. working-age population would fall."
